id,name,ratingCount,ratingValue,bestRating,worstRating,installNumber,size,price,appType,developer,category,version
285,Follower Begir Instagram,72228,4.6,5,1,200000,1333927,0,Offers IAP purchases,andromedaa,social,5.0.1
286,یه جک بگم,117983,4.7,5,1,200000,7160583,0,Offers IAP purchases,farazdevelopers,social,3.44
287,آنفالویاب اینستاگرام اینستافالو,12449,4.3,5,1,200000,2781791,0,Offers IAP purchases,hadi-ranjbar,social,5.5
288,LinkedIn,3413,4.2,5,1,200000,38296685,0,,LinkedIn,social,4.0.99
289,InstaFollow,20406,4.2,5,1,200000,1308701,0,,"INNOVATTY, LLC",social,2.2.5
290,Message of Love,18113,4.6,5,1,100000,1965317,0,,skydt,social,1
291,Comment Begir Instagram,14100,4.7,5,1,100000,1410850,0,Offers IAP purchases,andromedaa,social,2.0.3
292,InstaMessage,11428,4.5,5,1,100000,18648629,0,,tap-genius-ltd,social,2.5.2
293,Cafe Instagram,82865,4.5,5,1,100000,8341923,0,Offers IAP purchases,Castle Programming Group,social,6.0.1
294,Nazdika,21024,4.5,5,1,100000,6693608,0,Offers IAP purchases,oddrun,social,5.0.2
295,Baham social network,62694,4.4,5,1,100000,5887337,0,Offers IAP purchases,Zero Team,social,7.6.8
296,Khalafi khodro,0,0,0,0,100,10363811,10000,,KENBLACK,social,1
297,Telegram Life,4,4.5,5,1,200,23907769,0,,sgdesign,social,3.13.1
298,Neveshtane,2,3,5,1,100,2710166,0,,Infinitedreams,social,1.01
299,dastan asheghane,2,4.7,5,1,100,2653178,0,,feiz98,social,v2.0
300,آیرو ممبر,6,3.7,5,1,100,7086572,0,Offers IAP purchases,smaznet,social,1.2.0
301,network social hamyar,9,3.2,5,1,200,7607915,0,,amini,social,1.0.3
302,1001 tips for success,3,3.7,5,1,100,5817964,0,,MyStudio,social,1
303,Wi-Fi password and security,0,0,0,0,200,2846037,0,,tehransoft,social,2
304,payamak asheghane v tike dar,31,4.6,5,1,2000,2999421,0,,gorohe aghbolaghi,social,1
305,anvae koko,16,4.6,5,1,500,4326122,0,,roiae khis,social,v2.0
306,آنالیز ممبر | آنفالویاب اینستاگرام,76,4.4,5,1,500,3915194,0,Offers IAP purchases,Mohsen Jahani,social,1
307,Artan,4,3,5,1,100,3141752,0,Offers IAP purchases,parseh,social,Artan4
308,delneveshteha,22,4.2,5,1,500,8586266,0,,Sherkate Adrapana,social,v1.0
309,Artibition Online Gallery,28,5,5,1,100,12271522,0,,artibition,social,1.0.1
310,ممبرکده,38,4.5,5,1,200,7373813,0,Offers IAP purchases,alireza21098,social,1.2.0
311,Yadsa,18,5,5,1,200,6620631,0,,Yadsa,social,0.7.1
312,DAT,0,0,0,0,100,1141525,10000,,arta_app,social,1
313,higram (add member),43,3.5,5,1,500,3319989,0,Offers IAP purchases,safinatolnejat,social,HM_1.2
314,chanel yab,221,4.4,5,1,2000,1379841,0,,akbar sadeghpoor,social,v1.0
315,RepostSave,5,5,5,1,2000,18538981,0,,digiset-llc,social,3.3.2
316,InstaRepost,0,0,0,0,200,16641641,0,,instarepost,social,3.6.1
317,telegram auto member,386,4.2,5,1,500,9880366,0,,aminrz32,social,3.10.4
318,hidden telegram,12,2.3,5,1,100,17770717,10000,,aminrz32,social,3.10.4
319,Save Profile Instagram,10,3.7,5,1,100,358312,20000,,akbar sadeghpoor,social,v1
320,Menugram,221,4.2,5,1,10000,5884619,0,Offers IAP purchases,armin,social,2.1.2
321,GIPHY CAM,1,5,5,1,500,94411550,0,,giphy-inc,communication,1.1.2
322,Allo,1053,4.3,5,1,100000,15377280,0,,Google Inc.,communication,4.0.014_RC09 (armeabi-v7a_xxhdpi)
323,Duo,831,4.3,5,1,200000,10640653,0,,Google Inc.,communication,5.1.142054125.DR5_RC14
324,Ayva Messenger,463,4.4,5,1,5000,19758428,0,,rayanpooyan,communication,3.5.2
325,موبوپلاس,40211,4.3,5,1,500000,4205499,0,Offers IAP purchases,Hanista Group,communication,2.1
326,SMS-Pro,808,4.1,5,1,2000,3646302,20000,,SinDev,communication,6.2.2
327,Telegram,332603,4.3,5,1,17000000,12628550,0,,Telegram Messenger LLP,communication,3.15.0
328,WhatsApp,362552,4.3,5,1,12000000,28443847,0,,WhatsApp Inc.,communication,2.16.396
329,LINE: Free Calls & Messages,204574,4.3,5,1,4000000,45650091,0,,LINE Corporation,communication,6.9.1
330,موبوگرام,37625,4.5,5,1,500000,16910190,50000,,Hanista Group,communication,T3.13.1-M9.6
331,Plus Messenger,19744,4.4,5,1,2000000,16217222,0,,rafa,communication,3.13.1.8
332,Soroush,4963,4.2,5,1,200000,14634330,0,,Resane Soroush,communication,0.14.4
333,تلگرام فارسی (غیر رسمی),490333,4.4,5,1,3000000,24102739,0,,persianfox,communication,3.8.1.2
334,Telegraph,3153,4.3,5,1,20000,21861528,40000,,masoudbh,communication,T3.10.1 - P5.0
335,Telegram Telegramity,11020,4.3,5,1,100000,22381303,0,Offers IAP purchases,eng-maria-amani,communication,3.9.7 - TGY-Build 997
336,hike,18185,4.4,5,1,200000,32609498,0,,hike-ltd,communication,4.7.4
337,Azar,2503,4.2,5,1,200000,38508598,0,,Hyperconnect inc,communication,3.11.7-arm
338,BisPhone,18456,4.2,5,1,100000,17705151,0,,Bistalk,communication,2.0.1
339,"Numbers - Chat, Voice & Video Call",8915,4.1,5,1,10000,28311988,0,Offers IAP purchases,Arioo Dotcom,social,2.3.7.1
340,Kik,17159,4.1,5,1,100000,33078323,0,,Kik Interactive,communication,11.3.1.12434
341,Wire,249,4.1,5,1,50000,19604390,0,,Wire Swiss GmbH,communication,2.24.303
342,Skype,28431,4.1,5,1,3000000,40247115,0,,Skype,communication,7.29.0.370
343,Persian Telegram (Full),134538,4.4,5,1,200000,27153743,0,,radian,communication,3.14.1
344,Messenger,9431,4,5,1,200000,12260121,0,,Yahoo,communication,2.5.0
345,Messenger Voice and Video Plug-in,1628,3.9,5,1,100000,9529641,0,,Yahoo,communication,1.6.1
346,Rounds,63,3.8,5,1,2000,16787536,0,,rounds-entertainment-ltd,communication,8.1.0
347,Talkray,1569,4.1,5,1,20000,10462857,0,,TiKL Inc,communication,3.134
348,KakaoTalk,7099,4.1,5,1,100000,51182315,0,,kakao-corporation,communication,6.0.0
349,Hangouts,56740,4,5,1,29000000,29079168,0,,Google Inc.,communication,15.0.141104777
350,پیام رسان و ضدتبلیغ هدهد,38472,4.7,5,1,100000,7780136,0,,2d_dev_team,communication,1.7.3
351,Holaa! Caller ID & Call Block,755,4.3,5,1,100000,6075063,0,,Nimbuzz,communication,5.8.2
352,Calls Blacklist,2884,4.4,5,1,100000,2770427,0,,Vlad Lee,communication,3.1.15
353,"myrond, Rond,simcart,khat,sim 0912",245,4.7,5,1,2000,4481494,0,,Myrond,productivity,2.4.8
354,تقویم شمیم یاس,168474,4.5,5,1,500000,8399207,0,Offers IAP purchases,shamimsoft,productivity,2.3
355,انبار,230,4.2,5,1,2000,3898162,0,Offers IAP purchases,Orange Programming Group,productivity,1.3.1
356,تقویم شمسی ۹۵,366,4.2,5,1,2000,7138733,30000,,kingroidgroup,productivity,1.1.3
357,fonet phone tracker,221,2.9,5,1,20000,2408008,0,Offers IAP purchases,apping,productivity,1.2
358,SimPay,34,4.5,5,1,10000,10062154,0,,altontech,productivity,3.1.0
359,areka,4,5,5,1,500,2421951,0,,open_source_developer,business,1.2.5
360,Smart Kit,9,5,5,1,2000,6494070,0,,kafui-utils,productivity,1.5
361,تولدیار,47,3.7,5,1,2000,6632537,0,,Amir mohamadi,productivity,1
362,استخدام شو (کاریابی اینترنتی),51,4.4,5,1,2000,2585414,0,Offers IAP purchases,estekhdamsho,business,1.7.0
363,Emam Reza Salavat Widget,4480,4.8,5,1,20000,4739729,0,,raimon,widgets,4.6
364,انتظار (روز شمار غیبت),3854,4.7,5,1,10000,4122258,0,,raimon,widgets,2.2
365,Widget Calendar,479,3.9,5,1,20000,172361,0,,Mohammad Amin Jafari,widgets,1
366,Flashlight,471,3.8,5,1,50000,255814,0,,marabifouad,widgets,3
367,ویجت صلوات,2104,4.6,5,1,10000,3444365,0,,raimon,widgets,2
368,Talking clock with Persian widget,7325,4.4,5,1,10000,8255476,0,Offers IAP purchases,raimon,widgets,4.2
369,Analog clock,158,3.8,5,1,20000,333408,0,,barfinroid,widgets,1
370,WidgetClock,96,3.8,5,1,20000,5743607,0,,pasargad office,widgets,1
371,Clock Mod Widget,620,3.6,5,1,50000,314883,0,,Amin BesharatNia,widgets,1.2
372,Imam Hosein Clock,682,4.3,5,1,10000,3230142,0,,parsiyar-1825,widgets,2.1
373,ویجت السلام علیک یا اباعبدالله,1448,4.8,5,1,5000,2186701,0,,raimon,widgets,1.1
374,گوشیتو رنگی کن,3447,4.2,5,1,10000,857752,0,,Senator,widgets,1
375,Zekr - Islamic holy words,143,3.9,5,1,20000,544213,0,,ashkaran,widgets,1
376,BATTREY,121,4,5,1,10000,39726,0,,z-back33,widgets,final
377,متن یار,27,4.4,5,1,500,5191755,0,Offers IAP purchases,apk4iranian,tools,1.1.0
378,Dr.Web Security Space,1817,4.2,5,1,100,11689520,320000,,vanda,tools,10.1.2
379,Imaa,7,5,5,1,1000,1752141,0,,rayacoder,tools,1
380,Civil Abacus (Civil Engineer Tools),85,4.2,5,1,1000,12077606,0,Offers IAP purchases,proscience,tools,6.6.0
381,AlFa Keyboard 1,1835,4.3,5,1,20000,6154970,10000,,sma_dev_apps,tools,2.2
382,Professional Keyboards Alfa 2,838,4.4,5,1,10000,11800534,0,Offers IAP purchases,sma_dev_apps,tools,2.01612E+11
383,Energy Saver,7,3.9,5,1,5000,5070445,0,,time-left,tools,1.0.8
384,Talking Alarm Clock,1150,4.4,5,1,5000,5827631,0,Offers IAP purchases,raimon,tools,1.2
385,Oral History,48,4.6,5,1,500,2837402,0,,Oral History,tools,1.33
386,Roshana,82,3.9,5,1,1000,2489937,0,,White Tree,tools,1.1
387,FileGram,82,4.4,5,1,1000,5400985,0,Offers IAP purchases,Olympia,social,1.1.1
388,Appche | Create android apps,3000,4.2,5,1,10000,45012461,0,Offers IAP purchases,BitsArt,tools,2.7.1
389,Rainbow Keyboard,956,3.9,5,1,10000,8521423,0,Offers IAP purchases,io_plus,tools,1.1.3
390,خدمات پیشخوان,359,4.5,5,1,20000,10859744,0,,7sharge,tools,1.2
391,Simple Color Picker,75,4.2,5,1,2000,1247207,0,,lollypop,tools,3
392,"BioText , Fantasy Text",54,4,5,1,5000,3511456,0,,Solutionz IT Based,tools,2
393,PPA Tools,13,4.7,5,1,200,11674113,0,,Pars Pazhoohan Asia PPA HOST,tools,1.5.0
394,HUAWEI HiCare,84,4.1,5,1,500000,3939437,0,,Huawei Internet Service,tools,2.0.4.301_OVE
395,Sharper Calculator,1197,4.4,5,1,5000,1930039,0,,ymbsmz,tools,1.0.1
396,GooshiBeGooshi,235,3.9,5,1,10000,3163942,0,,bitagames,tools,1.0.6
397,Rahyab Alarm,10,4.2,5,1,500,3247585,0,,rahyab1984,tools,1.1
398,Telegroob,671,4.1,5,1,10000,3357880,0,,hamsah,tools,1.2
399,Smart Flashlight shake,3500,4.3,5,1,20000,2016059,0,Offers IAP purchases,raimon,tools,2.3
400,1Password,13,3.3,5,1,5000,10448665,0,,agilebits,productivity,6.4.5
401,Dashlane,21,4.3,5,1,500,25277824,0,,Dashlane,productivity,4.7.2.1622-armeabi-v7a
402,Keeper,4,3,5,1,10000,14457371,0,,keeper-security-inc,productivity,10.4.8
403,همراه کارت,28,3.7,5,1,5000,2884099,0,,afkarsystem-mobile,tools,1.3.1
404,kosar mobile payment,4,3,5,1,2000,5651988,0,,Credit Institution Kosar,finance,1.0.25
405,kosar mobile bank,34,3.8,5,1,20000,6027473,0,,Credit Institution Kosar,finance,1.2.7
406,Sabadban,11,4.5,5,1,500,6622422,0,,Sefr-Yek. Co.,finance,1.0.0
407,Check Man,19,4.4,5,1,1000,3776503,0,Offers IAP purchases,shahab salami,finance,1.6
408,Rahavard 365,176,3.5,5,1,2000,14043548,0,,mabnadp,finance,1.6.0
409,City Payam Resan,17,4.2,5,1,5000,5794358,0,,ADP Digital,finance,1.0.0
410,Snapp Driver | اسنپ رانندگان,851,4.2,5,1,50000,5987965,0,,snapp,transportation,2.3.3
411,Snapp | اسنپ,36999,4.9,5,1,200000,11379619,0,,snapp,transportation,3.0.2
412,Tehran Metro,8867,4.6,5,1,200000,5696124,0,,fardad,transportation,1.3.6
413,لیست کامل خلافی خودرو,1973,4.4,5,1,200000,2153561,0,Offers IAP purchases,راهی,transportation,4
414,Sygic,23401,4.2,5,1,500000,39364731,0,,Sygic.,transportation,16.4.9
415,Car Assistant,5949,4.6,5,1,50000,6687515,0,Offers IAP purchases,Serendip,transportation,4.0.0
416,KISH PLUS,25,4.6,5,1,1000,1882297,0,,firon,travel-local,2.1
417,Shemiran Parvaz,30,5,5,1,2000,7827086,0,,shpiran,travel-local,1.2
418,Haminvara | Best City Guid,51,4.2,5,1,1000,11522004,0,,haminvara,travel-local,1.4
419,Parvaz Iran,17,4.5,5,1,2000,3507098,0,,Farzad Farahmand,travel-local,0.0.1
420,BAM - Accessibility Database,7,4.9,5,1,100,1725990,0,,Mani Razavizadeh,travel-local,V1.0.0
421,CafeGardesh,34,4.3,5,1,1000,2871986,0,,MabnaCo,travel-local,1.5.2c
422,Kharidon,58,3.2,5,1,2000,3824373,0,,Kharidon,travel-local,1.1.1
423,گردشکده,12,3.9,5,1,500,7932041,0,,mojaddady,travel-local,1.1.5
424,Kashan Map,20,4.2,5,1,500,8954845,0,,Ashid Group,travel-local,3.6.0
425,Anaseir,32,4.1,5,1,2000,2839887,0,,AppSA,travel-local,1.1
426,Nazdiktarinha,49,4,5,1,2000,6782638,0,,skywave,travel-local,1.0.6
427,carevan,67,4.4,5,1,2000,6978397,0,,Kvan Pouryavar,travel-local,0.2.3
428,Sepehr360(bilit charter havapeima),1158,4.5,5,1,50000,4249214,0,,sepehr 360,travel-local,1.2 CB
429,Airplane Ticket,40,4.1,5,1,10000,2688943,0,,Atigh Gasht Isfahan,travel-local,1.0.1
430,blityab,23,4,5,1,5000,2775891,0,,blityab,travel-local,4.4
431,Travel to Semnan,26,4.2,5,1,500,4827533,0,,hamgardi,travel-local,1.8.8 Semnan
432,Samt,563,3.8,5,1,10000,19958197,0,,ARCA SIMAP,travel-local,2.1
433,mr Bilit,199,4,5,1,20000,906241,0,,Atigh Gasht Isfahan,travel-local,1.3.1
434,beheshte gomshode,9,5,5,1,200,33952892,0,,Almas Studio,travel-local,1.0.1
435,rahsepar,6,4.3,5,1,200,19847384,10000,,soroushasadi,travel-local,1.2.2
436,قزوین‌ گرد,114,4.6,5,1,200,4545792,0,,akkamco,travel-local,1.4
437,shiraz information,26,4.7,5,1,2000,1918066,0,,bazarbashe,travel-local,1.5
438,Hamgardi,2848,4.5,5,1,50000,3533426,0,,hamgardi,travel-local,3.5.3 C
439,Iran  361°,2142,4.2,5,1,10000,7989207,0,Offers IAP purchases,Mousa Akbari,travel-local,4.5
440,Kish Map,96,4.3,5,1,5000,9416802,0,,Neshan,travel-local,2.0.3
441,safargardi,1449,4.6,5,1,10000,5016369,0,,iraneasytravel,travel-local,1.6.4
442,Traveller Tabriz,99,4.6,5,1,2000,29709964,0,,Process,travel-local,1.7.7
443,Zanjangardi,54,4.3,5,1,1000,10901273,0,,adakco,travel-local,1.4.6
444,Travel to Qeshm,205,4.5,5,1,2000,4986121,0,,hamgardi,travel-local,1.8.8 Qeshm
445,arak,42,4.4,5,1,1000,2094649,0,,hisoft,travel-local,1
446,Bandar 24,24,4.5,5,1,200,1045303,0,,jonoub,travel-local,1.1.1.7
447,Mashhad App&Map,88,4.3,5,1,1000,45811138,0,,ashbir,travel-local,1.1.6
448,Travel to Ahvaz,291,4.2,5,1,5000,4945305,0,,hamgardi,travel-local,1.8.8 Ahvaz
449,LEEPAK | Tourism Social Network,117,3.8,5,1,2000,7595782,0,,leepak,travel-local,0.9.13
450,Travel to Kashan,137,4.6,5,1,2000,5026047,0,,hamgardi,travel-local,1.8.8 Kashan
451,Travel to Hamedan,165,4.5,5,1,2000,4863839,0,,hamgardi,travel-local,1.8.8 Hamedan
452,Travel to Antalya,26,4.3,5,1,1000,5013635,0,,hamgardi,travel-local,1.8.8 Antalya
453,Paris,103,4.8,5,1,2000,15615914,0,,ZORAQ.com,travel-local,2
454,راهنمای سفر به ترکیه,39,4.1,5,1,2000,13150839,0,,yekta system hooshmand,travel-local,1
455,TripAdvisor,5767,4.3,5,1,2000000,45677584,0,,TripAdvisor,travel-local,19.0.1
456,راهنمای سفر به تایلند,15,4.7,5,1,1000,8898581,0,,yekta system hooshmand,travel-local,1
457,Dubai,206,4.5,5,1,2000,12178728,0,,ZORAQ.com,travel-local,2
458,Travel to Vienna,8,4.8,5,1,200,5041156,0,,hamgardi,travel-local,1.8.8 Vienna
459,Couchsurfing,134,4.3,5,1,10000,5792836,0,,couchsurfing-inc,travel-local,4.7.2
460,Stay.com,5,4,5,1,200,14314294,0,,Stay.com,travel-local,4.3.1
461,Triposo,33,4.5,5,1,500,37533999,0,,triposo-inc,travel-local,4.4.1
462,Tourism,721,4.5,5,1,5000,3132612,0,,bartarinha,travel-local,2.1
463,Travel to Berlin,7,5,5,1,200,4934648,0,,hamgardi,travel-local,1.8.8 Berlin
464,Travel to London,22,4.5,5,1,500,4957608,0,,hamgardi,travel-local,1.8.8 London
465,World Around Me,19,4.7,5,1,1000,8927819,0,,WT InfoTech,travel-local,3.2
466,Tourist,186,3.8,5,1,1000,3391142,0,,redstudio,travel-local,1.2
467,آنتالیا,69,4.6,5,1,1000,10936551,0,,ZORAQ.com,travel-local,1
468,چمدان,690,4.4,5,1,10000,1224002,0,,ZORAQ.com,travel-local,1.1
469,141,2131,4.2,5,1,100000,7364031,0,,Iran Road Management Center,transportation,3.1.6
470,iBenzin,487,4.2,5,1,10000,1828616,0,,Code Studio,travel-local,1.1.0
471,Havashenas 3,30181,4.4,5,1,500000,4222130,0,Offers IAP purchases,Farhad Shirzad,weather,3.4
472,Havashenasi,4724,4.2,5,1,20000,7208301,0,,atfdeveloper,weather,1.2
473,"Havakadeh, Forecast & Widgets",271,3.9,5,1,20000,13689588,0,,6thSolution,weather,1.1.0
474,Weather & Clock Widget,10742,4.5,5,1,200000,10684844,0,,Devexpert.NET,weather,5.9.1.2
475,Weather,7704,4.6,5,1,200000,2655411,0,,MacroPinch,weather,3.2.1
476,اپلیکیشن هواشناسی,10831,4.3,5,1,20000,19965765,50000,,MilaD Faraji,weather,2.5.4
477,Weather,5477,4.5,5,1,100000,22893201,0,,Yahoo,weather,1.6.3
478,GO Weather EX,4475,4.5,5,1,100000,13323674,0,,go-dev-team-x,weather,5.733
479,Sense flip clock & weather,633,4.4,5,1,10000,17738175,0,,machapp-software-ltd,weather,2.80.01
480,Digital clock & weather,230,4.4,5,1,5000,16205898,0,,machapp-software-ltd,weather,2.00.01
481,3D flip clock & weather,447,4.3,5,1,5000,17952805,0,,machapp-software-ltd,weather,2.52.04
482,Transparent weather clock,1888,4.6,5,1,100000,18152308,0,,machapp-software-ltd,weather,0.92.01.08
483,The Weather Channel,1775,4.4,5,1,50000,50531129,0,,The Weather Channel,weather,7.4.1
484,google_libs,3519,4.6,5,1,20000,11895099,0,,amber-mobile-limited,weather,3.2.7
485,YoWindow,1558,4.6,5,1,20000,35612841,0,,RepkaSoft,weather,1.29.3
486,Weather,2340,4.3,5,1,5000,9639396,50000,,hadi-karimi,weather,4.1
487,easy forecast,8529,4.3,5,1,20000,261863,0,,sunofgod7,weather,2
488,Weather Live,1500,4.5,5,1,20000,32659948,0,,Apalon Apps,weather,5.1
489,Irimo Weather,1279,3.8,5,1,50000,1232127,0,,GAMA,weather,1.1
490,وضعیت آب و هوا,0,0,0,0,100,4923659,0,,mothertereza,weather,1
491,برنامه دماسنج همراه,3,2,5,1,1000,4015174,0,,elnaz vejdani,weather,1
492,Nika Weather,1,1,5,1,100,2672352,10000,,nikatech,weather,1.2.1
493,weather forecasting,2,3,5,1,1000,2588673,0,,rezapoorzare,weather,1.7
494,آب و هوا شناسی,1,1,5,1,1000,4861408,0,,NamakPash,weather,1
495,Havashenasi pishrafte,399,4.3,5,1,10000,5867504,0,,soshiadev,weather,SOSHIADEV
496,Mazandaran PROVINCE MET,7,3.5,5,1,2000,5765250,0,,aseman32325140,weather,
497,Havashenasi roz,86,3.8,5,1,5000,510508,0,,palizban,weather,1.1
498,Ab va havaye shahre man,22,3.8,5,1,5000,2879633,0,,zeyton,weather,A-SH.4.1
499,Havayar,0,0,0,0,100,1333574,10000,,Hamed Rezaee,weather,1
500,Meteorology oramanat,11,4,5,1,2000,1712335,0,,zahedamini,weather,2.0.0.0
501,Bris,22,4.5,5,1,100,18432390,20000,,breathe,weather,1.5.7
502,AccuWeather,5954,4.5,5,1,200000,30867279,0,,accuweather,weather,4.3.7-free
503,ChandDarMiad (Currency Converter),39,4.1,5,1,500,1010570,0,,dansa,travel-local,1.1
504,دنگ سفر,949,4.6,5,1,5000,3405539,0,,Morteza hashemi,travel-local,1.1
505,Iran Offline Map,7815,4.3,5,1,100000,53466449,0,,farhad kargaran,transportation,5.5
506,Compass,648,4.3,5,1,20000,3021112,0,,Smart Tools co.,tools,1.7.4
507,Maps,83086,4.4,5,1,29000000,39937218,0,,Google Inc.,travel-local,9.42.3
508,Rahad Offline Map & Routing,53010,4.4,5,1,100000,5999232,0,Offers IAP purchases,Rahad Team,travel-local,1.4.7
509,Currency,38,4.3,5,1,2000,2806375,0,,ExtraAndroary,finance,2.4.0
510,آدرس یاب و نقشه آفلاین تمام دنیا,29060,4.3,5,1,50000,2316473,40000,,smart team,travel-local,1.15
511,Booking.com Hotels,250,4.6,5,1,200000,27419002,0,,bookingcom-hotel-reservations,travel-local,11.7
512,Sepehr Maps,116265,4.6,5,1,200000,5053828,0,Offers IAP purchases,sepehr_group,travel-local,7.3.2
513,MAPS.ME,755,4.6,5,1,100000,32339424,0,,mycom-bv,travel-local,6.5.4-Google
514,"IMAP(routers, address, offline map)",67043,4.4,5,1,100000,5124473,0,Offers IAP purchases,pishtazan_android,travel-local,2.4
515,fine iran & world Map,2935,4.2,5,1,20000,3312409,40000,,ARA Group,travel-local,1.11
516,Mashhad Map,1796,4.5,5,1,100000,19422554,0,,mashhadmap,travel-local,6.0.5
517,آدرس بده رو نقشه ببین,5367,4.2,5,1,10000,2275184,50000,,smart team,travel-local,2.26
518,Dunro,7675,4.4,5,1,50000,7245848,0,,Dunro,travel-local,0.9.0
519,LastSecond,2635,4.3,5,1,100000,1541092,0,,LastSecond,travel-local,2.2.0
520,GPS Status,1037,4.4,5,1,50000,4064819,0,,MobiWIA - EclipSim,travel-local,7.4.160
521,Tehran Offline Map,1143,4.1,5,1,100000,18207102,0,,System Avaran Sadra,travel-local,2.6
522,baby health,0,0,0,0,100,5300263,0,,iranapple,health-fitness,1
523,good food!!,0,0,0,0,100,6780437,0,,iranapple,lifestyle,1
524,Family Doctor,322,4.6,5,1,5000,17318901,0,Offers IAP purchases,tadbirstudio,medical,1.5
525,TATAK2,107,4.2,5,1,2000,42438044,0,Offers IAP purchases,mahdi darabi,medical,2.9.4
526,دکتر ساینا,76,4.6,5,1,5000,8719315,0,,drsaina,medical,1.2.2
527,دکتر دارو,10,3.6,5,1,5000,4191311,0,,AppWizard,medical,1.6
528,ShafaDoc,68,4,5,1,2000,6981090,0,,Aftabe Shafa,medical,1.4.1.0
529,Doctorin - Specialist doctors DB,30,4.8,5,1,1000,2346308,0,,Raze Simurg,medical,0.9.0
530,Melitus ( Sadra Diabetes House),6,4.5,5,1,1000,26730530,0,,appiLux,medical,1.1
531,darmangaran,49,4.6,5,1,2000,6164833,0,,zhillamo,medical,0.8.9.1
532,TeleTeb - Dermatology & Beauty,728,4.6,5,1,5000,5534200,0,,teleteb,medical,1.3.2
533,Parsiteb,215,4.3,5,1,2000,4674491,0,,parsiteb,medical,1
534,herbal tea /Dam noosh,46767,4.7,5,1,200000,2812486,0,,Narvan Soft,medical,3.8
535,Medical-Pharmacy,2344,4.4,5,1,20000,16632353,30000,,sepidpor,medical,15.5.2
536,Drug and illness reference,1534,4.3,5,1,20000,3216294,40000,,ARA Group,medical,2.6
537,Drug illness reference,6644,4.6,5,1,200000,2898946,0,,ARA Group,medical,2.15
538,Noskhehaye Ostad Ziyaei,9426,4.6,5,1,10000,2018592,20000,,Narvan Soft,medical,1.3
539,Chista Drugs,1350,4.4,5,1,10000,675091,20000,,vira_chista,medical,4
540,I Am Pregnant,3300,4.7,5,1,100000,4378487,0,,hamsane,medical,2.3
541,مرجع جواب آزمایش,6750,4.6,5,1,100000,2747881,0,,i-andriod-studio,medical,1
542,Niniban,2649,4.6,5,1,50000,1373278,0,,bartarinha,medical,1.2
543,Herbal traditional medicine,235,4.7,5,1,50000,6808130,0,,samira,medical,1
544,ﻣﺮﺟﻊ ﺩﺍﺭﻭﻫﺎ (ﮐﺎﻣﻞ),1239,3.5,5,1,50000,1299550,20000,,toolfa,medical,1.1
545,Persian Herb,301,4.2,5,1,10000,3905324,20000,,vira_chista,medical,2.9
546,Pharmacist and doctor,10055,4.6,5,1,50000,2607874,0,Offers IAP purchases,alip0ur2492,medical,3.2
547,پزشکی سلامت,223,4.5,5,1,50000,6119384,0,,pouriya,medical,1.2
548,Masaj Darmani,2357,4.5,5,1,5000,4088813,20000,,Narvan Soft,medical,1.3
549,دورهمی,10219,4.6,5,1,5000,14673288,0,Offers IAP purchases,paneiz_app,social,3.6
550,Slim Magazine,6600,4.6,5,1,20000,3470004,0,,paneiz_app,health-fitness,2.8
551,Archery King,30,4.5,5,1,10000,54467821,0,,Miniclip.com,sports-game,1.0.9
552,Flip King,0,0,0,0,100,31539100,0,,qwiboo-ltd,arcade,1.1
553,Mobile Combat,52,4.4,5,1,2000,67578381,0,Offers IAP purchases,baziline,action,1.0.8
554,Gun Strider,8,4.5,5,1,1000,41293494,0,,dreamotion-inc,arcade,1.02.387
555,FoxOne Special Missions,10,4.2,5,1,5000,80480007,0,,skyfox,action,1.5.24.8
556,Tiny Tanks War,17,4.4,5,1,1000,76973090,0,Offers IAP purchases,bluerabbit,action,1.0.8
557,War Machines,108,4.1,5,1,10000,49225078,0,,Fun Games For Free,action,1.8.4
558,Shadow Blade: Reload,42,4.2,5,1,500,358050547,60000,,fanafzar,action,1
559,Alpha Operations,716,4.1,5,1,10000,23655087,0,Offers IAP purchases,emcgames,action,1.05
560,Special Force,2617,4.5,5,1,50000,53684584,0,Offers IAP purchases,tbmgames,action,1.11
561,Zombie Age 2,101,4.4,5,1,10000,27050539,0,,divmob,action,1.1.9
562,Rush,8,3.5,5,1,500,89902454,0,,muro-studios,action,1.2
563,Western Mini Shooter,5,3,5,1,2000,49406970,0,,imax-games,action,1.4
564,Warplane,72,4.3,5,1,10000,47423397,0,,bravetale,arcade,1.0.4
565,Thunderbolt,6647,4.5,5,1,50000,60415648,0,,nahajacg,action,1.01
566,WW1 Air War,1231,4.3,5,1,50000,39686915,0,Offers IAP purchases,baziline,action,1.0.24
567,8th Invasion 2,14822,4.4,5,1,100000,67893536,0,Offers IAP purchases,Papata Game Studio,action,1.4
568,Zombie Frontier 3,1903,4.1,5,1,100000,48374109,0,Offers IAP purchases,medrick-fze-r,action,1.4
569,Temple Run 2,20502,4.4,5,1,500000,53300272,0,,Imangi Studios,action,1.31.2
570,Enemy Nightmare,74891,4.6,5,1,200000,104880721,0,Offers IAP purchases,memorymakers,action,1
571,Mayhem,5816,4.7,5,1,200000,40458047,0,,[adult swim] games,action,103
572,Shadow Blade,1499,4.7,5,1,20000,125255279,40000,,fanafzar,action,1.0.1
