id,name,ratingCount,ratingValue,bestRating,worstRating,installNumber,size,price,appType,developer,category,version
62,Decoration Magazine,1480,4.5,5,1,10000,2931319,0,,bartarinha,lifestyle,2.1
63,khooger,41,4.4,5,1,1000,5611898,0,,khooger,shopping,2.1.0
64,Houzz,1414,4.7,5,1,10000,28668309,0,,Houzz,lifestyle,5.17.2
65,Homestyler,205,4.4,5,1,5000,27401489,0,,Autodesk Inc.,lifestyle,1.4.7.5.249
66,20decor,6,4.8,5,1,500,6645368,0,,20 decor,lifestyle,1.0.3
67,bazartche,3349,4.3,5,1,5000,2758288,0,Offers IAP purchases,atfadev,shopping,2.5
68,PerCity - Grow your Persian City,8791,4.5,5,1,20000,45877089,0,Offers IAP purchases,TOD,simulation,0.9.45.4225
69,Pahlavan & Zombies,1725,4.4,5,1,20000,32786148,0,Offers IAP purchases,mocholo_game,arcade,1.0.14
70,Mr Mokh,1572,4.3,5,1,20000,40002874,0,Offers IAP purchases,Baloot Games,word,1.3
71,Clash of Desert,566,4.4,5,1,10000,142976959,0,Offers IAP purchases,igg_inc,strategy,1.0.8
72,Hamclassia,12378,4.4,5,1,20000,25447317,0,Offers IAP purchases,plus9games,word,1.25
73,Hey Taxi,166716,4.4,5,1,1000000,54626230,0,Offers IAP purchases,glim games 2,action,1.15
74,Bubble Man Rolling,885,4.3,5,1,5000,24244648,0,,playpax,action,1.1
75,Wild City,643,4.2,5,1,10000,79339310,0,Offers IAP purchases,Camel Games Limited,role-playing,1.0.2
76,King of Opera,24,4.6,5,1,200,40678948,100000,,tuokio,family,1.15.31
77,LootiWar,6203,4.5,5,1,50000,19267109,0,Offers IAP purchases,median,action,1
78,Khosh Rekab,16833,4.5,5,1,5000,32516630,0,Offers IAP purchases,arvandstudio,casual,1.8
79,Sheep Happens,4681,4.4,5,1,50000,48349323,0,,Kongregate,action,2.3.1
80,Javad Run,8924,4,5,1,50000,47182955,0,Offers IAP purchases,artaariagames,action,1.1
81,فال حافظ با تفسیر,5712,4.6,5,1,50000,4650999,0,,zhiwan2,entertainment,1.01
82,ضد سرقت و گوشی یاب هوشمند,602,4.1,5,1,50000,5077169,0,Offers IAP purchases,mohammad222,productivity,
83,فشارسنج اندرویدی +تست قند خون,12939,4.2,5,1,20000,1822202,0,,hesam67b,entertainment,1.5
84,فال حافظ ( کامل ),2230,4.6,5,1,20000,2430053,0,,hadi1376,entertainment,5.5
85,Falhafez,44,4.3,5,1,10000,3191589,0,,kohanweb,entertainment,3
86,Digiato,3464,4.6,5,1,50000,2473894,0,,Digiato.com,news-magazines,2.0.0
87,فال حافظ و استخاره,14,4.1,5,1,10000,1196088,0,,mh_1998,productivity,
88,ساخت عکس با دود,0,0,0,0,100,3594062,20000,,pishgamanapps,photography,1.2
